,Lega Nord,Partito Democratico,Movimento 5 Stelle,Fratelli d’Italia,Forza Italia,La Sinistra,Più Europa,Italia Viva,Azione,Europa Verde,Sondaggi
Tecnè,-0.2,0.1,-0.4,-0.0,1.3,-0.2,-0.0,-0.5,-0.1,-0.1,111
SWG,0.8,-0.1,-0.1,-0.0,-1.1,0.1,0.1,0.2,0.6,0.4,104
EMG,-0.6,0.3,0.1,0.1,-0.1,-0.3,-0.1,0.7,0.1,-0.1,77
Index,0.6,0.2,-0.1,-0.2,-0.4,0.1,-0.1,0.1,0.1,0.3,63
Piepoli,-1.4,-0.2,0.7,-0.1,1.0,-0.2,0.0,0.0,-0.6,-0.1,52
Termometro Politico,2.2,0.2,-0.5,0.0,-0.9,-0.2,-0.4,0.1,0.0,-0.3,50
Ixè,-1.7,0.6,0.5,0.3,0.5,0.3,0.5,-1.0,-1.0,-0.0,49
Noto Sondaggi,0.3,0.1,-1.1,0.0,-0.2,-0.5,-0.2,0.4,0.6,-0.3,48
Euromedia,-0.2,-0.5,-0.5,0.2,0.6,0.1,0.1,0.7,0.5,-0.3,43
Ipsos,0.8,-0.4,0.5,0.1,-0.1,-0.2,0.0,-0.2,-0.2,0.1,36
Demopolis,-0.0,-0.2,0.8,-0.2,-0.6,0.4,-0.3,0.3,,,34
BiDiMedia,-0.8,0.1,-0.1,-0.5,-0.6,-0.1,-0.1,0.3,-0.1,-0.0,26
Scenari Politici–Winpoll,1.6,1.1,-1.3,0.2,-0.8,-0.2,-0.2,-0.2,0.2,-0.1,23
Demos & Pi,-0.8,-0.0,0.1,-0.2,-0.1,0.6,0.3,-0.7,0.3,0.4,17
GPF,-1.8,-0.7,3.0,0.7,1.2,-0.1,-0.1,-0.0,0.6,,14
Quorum,-0.4,0.6,-0.2,0.4,0.3,0.5,0.4,-0.4,-0.2,,9
Lorien Consulting,-0.7,-0.2,0.0,0.8,1.5,0.3,-0.1,,,,6
IZI,-3.2,-0.8,0.7,0.8,0.4,,-0.7,1.2,,,3
MG Research,-0.7,4.9,-4.3,-0.1,-0.9,0.2,1.0,0.4,1.3,,2
CISE,-1.2,-0.2,0.7,-0.6,1.5,-0.4,1.3,,,,2
Eumetra,0.8,0.7,0.9,-0.3,0.8,,,,,,1
